1983-09-18,1,1309,"Trebek pilot #1 - Sunday, September 18, 1983","Trebek pilot 1.

Unaired.
"Personal computer" set with pull-card game board.
Announced by Jay Stewart."
1984-01-01,2,1317,"Trebek pilot #2 - Sunday, January 1, 1984","Trebek pilot 2.

Unaired.  Tape date unknown.
Season 1 set.
Announced by Johnny Gilbert."
1984-09-10,1,173,"Show #1 - Monday, September 10, 1984","Premiere episode with Alex Trebek as host."
1984-09-11,2,174,"Show #2 - Tuesday, September 11, 1984","Second episode. Three-way tie at zero."
1984-09-12,3,177,"Show #3 - Wednesday, September 12, 1984","Third episode."
1984-09-13,4,179,"Show #4 - Thursday, September 13, 1984","Fourth episode."
1984-09-14,5,180,"Show #5 - Friday, September 14, 1984","Fifth episode.
Lorrie Farrely sets a new single-day cash winnings record of $13,400."
1984-09-17,6,7445,"Show #6 - Monday, September 17, 1984","Game entered from audiorecording.  Missing prizes."
1984-09-18,7,7575,"Show #7 - Tuesday, September 18, 1984",""
1984-09-19,8,7446,"Show #8 - Wednesday, September 19, 1984","Game entered from audiorecording. Missing prizes."
1984-09-20,9,338,"Show #9 - Thursday, September 20, 1984",""
1984-09-21,10,339,"Show #10 - Friday, September 21, 1984","The Double Jeopardy! game board appeared on the cover of the manual for the electronic version of Jeopardy! for the Coleco Adam."
1984-09-24,11,340,"Show #11 - Monday, September 24, 1984",""
1984-09-25,12,341,"Show #12 - Tuesday, September 25, 1984","Ed Osawa sets a new single-day cash winnings record of $19,000."
1984-09-26,13,344,"Show #13 - Wednesday, September 26, 1984",""
1984-09-27,14,345,"Show #14 - Thursday, September 27, 1984","Clues from this show appeared in Season 2, episode 8 of the television show For All Mankind, set in 1983."
1984-09-28,15,5234,"Show #15 - Friday, September 28, 1984",""
1984-10-01,16,5235,"Show #16 - Monday, October 1, 1984","Elise Beraru game 1."
1984-10-02,17,5236,"Show #17 - Tuesday, October 2, 1984","Elise Beraru game 2."
1984-10-03,18,5237,"Show #18 - Wednesday, October 3, 1984","Elise Beraru game 3.
Elise sets a new single-day cash winnings record of $23,800."
1984-10-04,19,5243,"Show #19 - Thursday, October 4, 1984","Elise Beraru game 4."
1984-10-05,20,5238,"Show #20 - Friday, October 5, 1984","Elise Beraru game 5."
1984-10-08,21,5244,"Show #21 - Monday, October 8, 1984","First episode to use current Daily Double sound."
1984-10-09,22,7471,"Show #22 - Tuesday, October 9, 1984","Game entered from audiorecording. Missing prizes."
1984-10-10,23,7619,"Show #23 - Wednesday, October 10, 1984",""
1984-10-11,24,7620,"Show #24 - Thursday, October 11, 1984",""
1984-10-12,25,7627,"Show #25 - Friday, October 12, 1984","Paul Croshier game 1-A.
Missing prizes."
1984-10-19,30,7735,"Show #30 - Friday, October 19, 1984","Game entered from audiorecording.  Missing prizes."
1984-10-26,35,7526,"Show #35 - Friday, October 26, 1984",""
1984-10-30,37,7758,"Show #37 - Tuesday, October 30, 1984","Game entered from audiorecording. Missing prizes."
1984-11-02,40,9005,"Show #40 - Friday, November 2, 1984",""
1984-11-05,41,8334,"Show #41 - Monday, November 5, 1984",""
1984-11-06,42,8335,"Show #42 - Tuesday, November 6, 1984",""
